,days,hours,b'11126_fg,b'11126_obs,b'11035_fg,b'11035_obs
349,331,13,265.6056930541992,263.95001220703125,275.5807281494141,277.25
350,331,14,264.871272277832,264.3500061035156,275.3535270690918,277.1499938964844
351,331,15,264.14297714233396,263.95001220703125,275.105891418457,277.04998779296875
352,331,16,263.80158920288085,263.45001220703125,274.9877731323242,276.95001220703125
353,331,17,264.20422515869143,263.95001220703125,274.81042327880857,276.75
354,331,18,264.1484062194824,264.25,274.7235298156738,276.6499938964844
355,331,19,264.5770629882812,264.8500061035156,274.52697525024416,276.45001220703125
356,331,20,265.09742431640626,266.54998779296875,274.397142791748,276.25
357,331,21,264.34041595458984,267.75,274.24467315673826,276.04998779296875
358,331,22,263.5178253173828,268.6499938964844,274.17688674926757,275.8500061035156
359,331,23,261.9106071472168,265.95001220703125,274.1881965637207,275.6499938964844
360,332,0,260.95146484375,266.3500061035156,274.06377029418945,275.54998779296875
361,332,1,261.4733345031738,266.1499938964844,273.8569808959961,275.3500061035156
362,332,2,262.62014389038086,266.54998779296875,273.7774040222168,275.1499938964844
363,332,3,263.2507019042969,265.8500061035156,273.6892601013184,274.45001220703125
364,332,4,262.955118560791,265.6499938964844,273.66441879272463,274.45001220703125
365,332,5,263.56215209960936,265.75,273.6429588317871,274.95001220703125
366,332,6,263.6474075317383,265.75,273.7671813964844,275.3500061035156
367,332,7,263.70044937133787,265.54998779296875,274.04350051879885,275.6499938964844
368,332,8,263.8752052307129,267.04998779296875,274.5918876647949,276.54998779296875
369,332,9,264.3001853942871,266.95001220703125,275.2081665039062,276.95001220703125
370,332,10,264.55250091552733,264.3500061035156,275.8923393249512,277.54998779296875
371,332,11,265.2838760375977,266.1499938964844,276.2010307312012,277.95001220703125
372,332,12,265.3847068786621,266.1499938964844,276.1427398681641,278.25
373,332,13,265.2395698547363,266.25,276.26397705078125,278.54998779296875
374,332,14,264.5873390197754,266.54998779296875,275.76733627319334,277.8500061035156
375,332,15,264.1849754333496,266.1499938964844,275.32590637207034,277.54998779296875
376,332,16,263.53301391601565,265.1499938964844,275.37074966430663,277.54998779296875
377,332,17,262.8160797119141,264.95001220703125,,
378,332,18,262.2030937194824,264.3500061035156,275.50890960693357,277.04998779296875
379,332,19,261.98062591552736,264.45001220703125,275.3934745788574,277.45001220703125
380,332,20,261.70296783447264,264.3500061035156,275.380549621582,277.54998779296875
381,332,21,261.634285736084,264.1499938964844,275.2740592956543,278.1499938964844
382,332,22,261.84249420166014,263.45001220703125,274.7344146728516,278.1499938964844
383,332,23,262.59008331298827,263.25,274.32380828857424,277.3500061035156
384,333,0,262.3912406921387,263.04998779296875,274.24304046630857,277.75
385,333,1,262.59532775878904,262.6499938964844,274.43967895507814,277.04998779296875
386,333,2,263.8981903076172,262.8500061035156,274.46938705444336,277.54998779296875
387,333,3,264.6659194946289,263.75,274.3673782348633,276.45001220703125
388,333,4,265.52143478393555,264.54998779296875,274.31757125854494,276.3500061035156
389,333,5,265.98615646362305,264.75,274.3967338562012,276.75
390,333,6,265.9795150756836,265.04998779296875,274.3217933654785,276.8500061035156
391,333,7,266.2186851501465,266.1499938964844,274.45725021362307,277.1499938964844
392,333,8,267.2818244934082,267.75,275.21986236572263,278.3500061035156
393,333,9,267.7134414672852,268.6499938964844,276.6600341796875,279.8500061035156
394,333,10,268.8005844116211,267.04998779296875,278.1602073669434,281.45001220703125
395,333,11,269.71874237060547,268.8500061035156,278.7738067626953,282.04998779296875
396,333,12,269.0833801269531,269.3500061035156,279.3052688598633,281.75
397,333,13,268.9003219604492,268.25,279.0901809692383,281.25
